year,level_1,level_2,value
2014,Male Arrested For Rape,Youths (7 To 19 Years Old),32
2014,Female Arrested For Rape,Above 21 Years Old,0
2014,Female Arrested For Rape,21 Years Old And Below,0
2014,Female Arrested For Rape,Youths (7 To 19 Years Old),0
2014,Total Persons Arrested For Outrage Of Modesty,Above 21 Years Old,704
2014,Total Persons Arrested For Outrage Of Modesty,21 Years Old And Below,139
2014,Total Persons Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),107
2014,Male Arrested For Outrage Of Modesty,Above 21 Years Old,699
2014,Male Arrested For Outrage Of Modesty,21 Years Old And Below,138
2014,Male Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),106
2014,Female Arrested For Outrage Of Modesty,Above 21 Years Old,5
2014,Female Arrested For Outrage Of Modesty,21 Years Old And Below,1
2014,Female Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),1
2014,Total Persons Arrested For Robbery,Above 21 Years Old,132
2014,Total Persons Arrested For Robbery,21 Years Old And Below,78
2014,Total Persons Arrested For Robbery,Youths (7 To 19 Years Old),62
2014,Male Arrested For Robbery,Above 21 Years Old,127
2014,Male Arrested For Robbery,21 Years Old And Below,74
2014,Male Arrested For Robbery,Youths (7 To 19 Years Old),60
2014,Female Arrested For Robbery,Above 21 Years Old,5
2014,Female Arrested For Robbery,21 Years Old And Below,4
2014,Female Arrested For Robbery,Youths (7 To 19 Years Old),2
2014,Total Persons Arrested For Housebreaking,Above 21 Years Old,122
2014,Total Persons Arrested For Housebreaking,21 Years Old And Below,60
2014,Total Persons Arrested For Housebreaking,Youths (7 To 19 Years Old),50
2014,Male Arrested For Housebreaking,Above 21 Years Old,117
2014,Male Arrested For Housebreaking,21 Years Old And Below,55
2014,Male Arrested For Housebreaking,Youths (7 To 19 Years Old),46
2014,Female Arrested For Housebreaking,Above 21 Years Old,5
2014,Female Arrested For Housebreaking,21 Years Old And Below,5
2014,Female Arrested For Housebreaking,Youths (7 To 19 Years Old),4
2014,Total Persons Arrested For Theft Of Motor Vehicle,Above 21 Years Old,53
2014,Total Persons Arrested For Theft Of Motor Vehicle,21 Years Old And Below,68
2014,Total Persons Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),55
2014,Male Arrested For Theft Of Motor Vehicle,Above 21 Years Old,48
2014,Male Arrested For Theft Of Motor Vehicle,21 Years Old And Below,66
2014,Male Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),53
2014,Female Arrested For Theft Of Motor Vehicle,Above 21 Years Old,5
2014,Female Arrested For Theft Of Motor Vehicle,21 Years Old And Below,2
2014,Female Arrested For Theft Of Motor Vehicle,Youths (7 To 19 Years Old),2
